i theta vel
195 3.538884060120774 -16.973947680241437
196 0.5560476886268146 -15.717458090650952
197 0.44583418298375777 -15.568177911345076
198 0.4153529824032989 -15.46870660931491
199 2.335563183705149 -16.74381548684157
200 2.602226399914608 -16.74167616462548
201 4.613431811969676 -15.689332226422971
202 3.343412289802878 -16.499618126652283
203 3.230500217079689 -16.462590291449406
204 2.156192596716099 -16.26459668563872
205 4.15629354275561 -15.75342291303283
206 2.355709104678892 -16.20259994044077
207 1.8416712006080025 -15.840987970882534
208 2.261041612533007 -16.01260940927289
209 4.710616141339912 -15.006755797229875
210 1.8392157519576002 -15.616663511744758
211 5.284956658667723 -14.47127436440869
212 3.940441744740994 -15.407058693092837
213 5.032863044022979 -14.483352750250479
214 4.775035103737358 -14.601247895139863
215 2.505243394639844 -15.599161088986634
216 2.4631635324921772 -15.517672108338914
217 2.6872556599190385 -15.498625557143956
218 3.4188616327919847 -15.308720428672704
219 4.2742230771326755 -14.66774182743578
220 1.150114058076814 -14.366843860742883
221 5.272383121224601 -13.795020183869054
222 5.8184792089726844 -13.532892544460768
223 1.0988961078547441 -14.127158159343882
224 3.86332602142633 -14.65871758154069
225 0.33676482499869687 -13.477353033133829
226 0.8671083808022979 -13.750837527904542
227 0.4262990898786444 -13.396891460589636
228 5.683254174002363 -13.182361025020294
229 1.8040845923227244 -14.317151838379063
230 1.8959626434705101 -14.320725991335864
231 2.5728477870446187 -14.58191459618514
232 4.883799443075207 -13.366573484772047
233 3.9910649451001716 -14.018187951583295
234 4.785611563664499 -13.323888887728376
235 4.756141312015924 -13.28899829218718
236 6.221144296350107 -12.68040004839949
237 1.737946745411182 -13.792692351175848
238 0.484417935955309 -12.773462842391897
239 5.499231683681587 -12.5999992024181
240 4.3086469992540515 -13.370608062177585
241 2.087733329876688 -13.80303034944593
242 4.574166908830402 -13.043556077990123
243 3.3735127540127623 -13.82314699026411
244 1.260769199866416 -13.01524317366687
245 3.3407623167304643 -13.728862957663546
246 0.4463384081620411 -12.312223047357438
247 5.084285682723387 -12.393195789927029
248 0.9118919425487505 -12.518524413723696
249 5.618334812142967 -12.020333481229128
250 1.8703427755612592 -13.181386012659328
251 6.2001902586679645 -11.86485107499535
252 1.3686357515007965 -12.685229781209786
253 4.113771485780449 -12.846380969488756
254 1.8913871749794287 -12.992927307411648
255 0.024503228464037047 -11.684740506207513
256 2.567027058611963 -13.223462529361344
257 0.14685461824891405 -11.62104397326457
258 5.329318163303427 -11.697432071675715
259 3.752132720988148 -12.813918623713542
260 5.2149561681292695 -11.666793435560406
261 0.41306330412291337 -11.542431120985981
262 2.750434285527323 -12.968164875455953
263 4.692505054069595 -11.899946444139117
264 1.3925805093548287 -12.12274867122797
265 1.1343980928555901 -11.8616369057105
266 1.4186084954032785 -12.05243631154139
267 4.717920384938657 -11.698750338013905
268 2.144552597041407 -12.489062136670318
269 5.957921931990671 -11.000200019146403
270 5.762590939308541 -10.983551730840215
271 0.9591175008147595 -11.4508017186913
272 3.7346525770394274 -12.237687331405626
273 0.41899929347992304 -11.003366987165998
274 0.3031170929996201 -10.904889210704479
275 3.989848310220827 -11.935542408681602
276 4.195584453857886 -11.73543754000035
277 5.961961513173516 -10.656319928982189
278 1.5752735495360666 -11.657027583559561
279 1.3468720147433488 -11.42698827519542
280 0.24056741557439804 -10.627450707579728
281 4.390068082496486 -11.37302340652344
282 2.008430015359757 -11.810735261463094
283 2.9108709280906178 -12.066558432743733
284 5.079553305561507 -10.718444755668061
285 4.192816570363599 -11.374116662919102
286 4.841544348509731 -10.81174923828394
287 5.198412858452709 -10.524987185648
288 5.690913723987716 -10.261979960825228
289 6.137739438562703 -10.178095311236568
290 3.6134562302327624 -11.582370021026271
291 5.733055173251252 -10.136457526047648
292 5.494265879535554 -10.180076649320256
293 2.567359171452414 -11.639768561966717
294 2.5223772108138025 -11.59006557111623
295 5.548512821150794 -10.046815333612024
296 5.182016363546688 -10.197874790464645
297 1.0076409216713882 -10.446325810355768
