i R \phi
598 0.08140618791063535 1.4315390151559284
599 0.07976566855357224 1.427017280768169
600 0.07951516149679948 1.4324097085661844
601 0.0776293051255087 1.4485858801066704
602 0.0778086741931619 1.4537477459636334
603 0.07773093720723705 1.4509835367135133
604 0.07780655671707272 1.4536810649534508
605 0.07846991115651104 1.4559058691032563
606 0.07843935896403638 1.4720983162602923
607 0.07777905078050894 1.4625968771180036
608 0.07651933931601693 1.4565352599764767
609 0.07692406494196358 1.4646104365772594
610 0.07576037024234578 1.4333439494096476
611 0.07475004662473062 1.4169501308033923
612 0.07362210885107943 1.4391873786268443
613 0.07306533704225866 1.4327795773795489
614 0.07179092369900522 1.4156666236458748
615 0.07292882919987907 1.4294876356128663
616 0.07536052697359112 1.4238786701681923
617 0.07480278617094502 1.4423838475557451
618 0.07675500883253805 1.4238839843175095
619 0.07693244014467777 1.4279758704955134
620 0.0770566874418596 1.4162837278726614
621 0.07654134947779662 1.4145440823584927
622 0.07726801999353625 1.4007947265942093
623 0.07663879093173691 1.4076067224780935
624 0.0765633048754759 1.3999633563560296
625 0.07737855498768109 1.4089877634388885
626 0.07728893109379296 1.3956943914508604
627 0.07824535677711071 1.3971991697237847
628 0.07887228878421551 1.3988882641871578
629 0.07876154815013997 1.3870141124830306
630 0.0775124252590516 1.3815332573666328
631 0.07851764683140508 1.3776717395429054
632 0.0797053233117925 1.3955891602972892
633 0.08038236222493972 1.3777666673408895
634 0.08089543383927743 1.3694299097750706
635 0.08107967066889311 1.3680492859459217
636 0.08200854589183343 1.3878233695111237
637 0.08338339809290303 1.3951527931285739
638 0.08318421179895387 1.4168268589548858
639 0.08258337063339334 1.4143861411285483
640 0.08329217981917507 1.4109795182975307
641 0.08392421264844292 1.4057894963716524
642 0.08413842767290851 1.404577230723549
643 0.08393701257894755 1.4017344748836005
644 0.08243642011572246 1.3995284389944256
645 0.08260338514637108 1.3870223310715255
646 0.08254673107632407 1.3938856594835682
647 0.08193315047691903 1.3816110221469522
648 0.08036852302643543 1.3759579755184177
649 0.07952052440839928 1.3935539268063617
650 0.0796524821475783 1.3864443279568388
651 0.07914260385691949 1.3779607959615519
652 0.07995644860054428 1.3856491105365754
653 0.08025996085418097 1.382377363382041
654 0.07830674456551921 1.3956584821277347
655 0.07669578018926355 1.387700600374614
656 0.07628018317397264 1.3607773682764928
657 0.07680234102164463 1.3631977854685058
658 0.07762937692949444 1.3654380944977036
659 0.07770107683807716 1.3679552234567502
660 0.07783067852009831 1.3803666895657745
661 0.07900003906534261 1.3971985335095225
662 0.0797872515607425 1.3962229346076502
663 0.07977347362983331 1.3871261504043453
664 0.08053475584560446 1.3928366539584869
665 0.08114383224827972 1.3765043092574896
666 0.08105091886412161 1.3692767936667154
667 0.08155136241806904 1.3648473398442054
668 0.08206203610447836 1.3513840452739352
669 0.08216670667865628 1.3497548349707844
670 0.08363960271326892 1.3720351388211465
671 0.08544132173913105 1.3916861060305297
672 0.08469495637251341 1.384425664942477
673 0.08378863169280168 1.3876285022026469
674 0.08402733193590779 1.3944614024937794
675 0.08344378585391486 1.409614545387016
676 0.08270493313485303 1.403807361506034
677 0.08367120745098658 1.4210201309457673
678 0.08472060314318638 1.4143836586459937
679 0.08507065586260233 1.4110259793731685
680 0.0870693169289039 1.396396852787653
681 0.08683918367833314 1.4215420638376943
682 0.08735824080624714 1.420597170861156
683 0.08675431886265328 1.4370500744478105
684 0.08706792477833873 1.4482155693056071
